Nr	Text_vorher	NOM	Text_danach	Dateiname	Sprachraum	Jahr	Textsorte	Textnummer	Erstglied	Lemma	Fremdwortbasis	Praefix	Numerus	Simplexbasis	als_praep_Kompl	Prep_Det_Nom	Adj	Genitiv	Det	Prep
5041	den Jnhalt des Gesangs verstehen/ und seine Andacht darauf richten kan. Wo diese Umstaende bey denen *Music*en beobachtet werden/ da kan es denn an heilsamer	Erbauung	und geistlichen Seelen-Nutzen nicht ermangeln. Es muessen nothwenig die Lehr-#und Trost-reichen Texte mehr Aufmunterung geben/ wenn sie durch einen suessen Klang unsern Herzen eingefloesst/ als	NOBD-1710-KT-neu.txt	NOBD	1710	KT	neu.txt	NA	Erbauung	NEIN	er	SG	NEIN	NEIN	NA	heilsam	NA	KEIN	an
1362	 Doctorn/ gesunnen/ dan gemaynen man ain hailsame 	ordnung	 damit der vnerfarn vnd eynfeltig/ mit solicher kr	OOBD-1530-ST-021.txt	OOBD	1530	ST	021.txt	NA	Ordnung	NEIN	NA	SG	JA	NEIN	NA	heilsam	NA	u	NA
139	ssen/ vnd wider alle heilsame 	Reichs vnnd Landes  ordnungen	/ ja wider alle Verbot der Erbarn Heyden/ freventl	OMD-1620-ST-084.txt	OMD	1620	ST	084.txt	Reichs- und Landes	Ordnung	NEIN	NA	PL	JA	NEIN	NA	heilsam	NA	s	wider
428	eginne/ vnd wo dises  nit/ so mache man heimliche 	reitzung	  inn einem oder zweyen vortheiln/  etwas lautrais	NOBD-1590-ST-neu.txt	NOBD	1590	ST	neu.txt	NA	Reizung	NEIN	NA	SG	JA	NEIN	NA	heimlich	NA	KEIN	NA
2650	igl. Preussi= sche Trouppen/ durch Helden=müthige 	Anführung	 ihres Generals/  des Fürsten von Anhalt=Dessau/ s	WMD-1710-ST-142.txt	WMD	1710	ST	142.txt	NA	Anführung	NEIN	an	SG	NEIN	JA	NA	heldenmuetig	postnom	KEIN	durch
3	ouil das wir die hernachgeschriben  auslegung vnd 	erklerung	 vber ettlich artickel aus den püchern der offenba	NOBD-1500-KT-009.txt	NOBD	1500	KT	009.txt	NA	Erklärung	NEIN	er	SG	NEIN	NEIN	NA	hernachgeschrieben	NA	b	NA
2	gknus geben/ souil das wir die hernachgeschriben  	auslegung	 vnd erklerung vber ettlich artickel aus den püche	NOBD-1500-KT-009.txt	NOBD	1500	KT	009.txt	NA	Auslegung	NEIN	aus	SG	NEIN	NEIN	NA	hernschgeschrieben	NA	b	NA
464	s DEI.* Ein Hauß Gottes/ von wegen der herrlichen 	Offenbahrung	 so Jacob allda widerfahren.%---------------------	NOBD-1620-KT-081.txt	NOBD	1620	KT	081.txt	NA	Offenbarung	NEIN	NA	SG	NEIN	NEIN	NA	herrlich	NA	b	von wegen
1827	e/  als an dich/ daß ich kein andere herrschende  	Anmuthung	 habe/ als dir zu gefallen. Man sage nur/ was man 	OOBD-1710-KT-neu.txt	OOBD	1710	KT	neu.txt	NA	Anmutung	NEIN	an	SG	NEIN	NEIN	NA	herrschend	NA	s	NA
1838	m Würcken weil die Liebe GOttes  die herrschende 	Anmuthung	 ihres Hertzens ist/ weil sie lebt/ und stirbt in 	OOBD-1710-KT-neu.txt	OOBD	1710	KT	neu.txt	NA	Anmutung	NEIN	an	SG	NEIN	NEIN	NA	herrschend	NA	b	NA
667	n/ lasset uns doch in wahrer  Buß und hertzlicher 	Bekehrung	 nahen zu unserm GOtt/  und zu unserm HErrn Christ	NOBD-1680-KT-neu.txt	NOBD	1680	KT	neu.txt	NA	Bekehrung	NEIN	be	SG	NEIN	NEIN	NA	herzlich	NA	KEIN	NA
31	anreitzung des gemüts.     Aber solche hertzliche 	bewegungen	 vn_ innerlich affect/ werden auß der bewegung des	NOBD-1560-ST-045.txt	NOBD	1560	ST	045.txt	NA	Bewegung	NEIN	be	PL	NEIN	NEIN	NA	herzlich	NA	s	NA
30	udt haben/  vnnd in ander dergleichen hertzlichen 	bewegungen	 vnd affecten/ vns den selbigen gleich erzeigen/  	NOBD-1560-ST-045.txt	NOBD	1560	ST	045.txt	NA	Bewegung	NEIN	be	PL	NEIN	NEIN	NA	herzlich	NA	s	in
1758	rer angebohrnenWohlredenheit  die hierzu gehörige 	Glückwünschung	  dem Gebrauch nach ablegen :  Wann nun die süsse 	OOBD-1680-KT-110.txt	OOBD	1680	KT	110.txt	NA	Glückwünschung	NEIN	NA	SG	NEIN	NEIN	NA	hierzugehoerig	NA	b	NA
56	 dem abgang der heiligen Birgitte/ die himlischen 	offenbarung	 ir vo_ gott geschehen in vil püchern geschriben/ 	NOBD-1500-KT-009.txt	NOBD	1500	KT	009.txt	NA	Offenbarung	NEIN	NA	SG	NEIN	NEIN	NA	himmlisch	NA	b	NA
96	ugend aus sölhem göttliche_ schein der himlischen 	offenbarung	 in irem gemut auferstanden/  als die tugend gar t	NOBD-1500-KT-009.txt	NOBD	1500	KT	009.txt	NA	Offenbarung	NEIN	NA	SG	NEIN	NEIN	NA	himmlisch	NA	b	NA
6	ecremata zu schirm sein selbs vber die himlischen 	offenbaru_gen	 sant Birgitte zu Watstein.</h1>   Ozias vn_ die p	NOBD-1500-KT-009.txt	NOBD	1500	KT	009.txt	NA	Offenbarung	NEIN	NA	PL	NEIN	NEIN	NA	himmlisch	postnom	b	über
392	ist Christus/  vnd wirdt regiert durch him_lische 	verordnungen	/ allermassen die Vorstätt regiert werden/ nach de	WOBD-1620-KT-079.txt	WOBD	1620	KT	079.txt	NA	Verordnung	NEIN	ver	PL	NEIN	NEIN	NA	himmlisch	NA	KEIN	durch
1028	racht  werdest.  Dieweil aber an solche himlische 	Warnung	 nicht alle vnd jede gedencken/ dieselbige auch ni	OMD-1620-KT-085.txt	OMD	1620	KT	085.txt	NA	Warnung	NEIN	NA	SG	JA	NEIN	NA	himmlisch	NA	s	an
365	drießlichkeiten/  gleich als hinterlistige Lebens=	Nachstellungen	/  umb deren willen die Christlichen Käyser die Eh	WMD-1680-ST-neu.txt	WMD	1680	ST	neu.txt	Lebens	Nachstellung	NEIN	nach	PL	NEIN	NEIN	NA	hinterlistig	NA	KEIN	als
3349	isterey/ eine warhafftige/ genugsame Historische  	Erläuterung	 wird gegeben worden seyn. Der Gott der Warheit/ u	WOBD-1710-KT-neu.txt	WOBD	1710	KT	neu.txt	NA	Erläuterung	NEIN	er	SG	NEIN	NEIN	NA	historisch	NA	KEIN	NA
295	lich machen zu sehen/ darzu gehört mit hoher 	auff merckung	 grosser fleyß dan so man das haubt erstlich fürny	NOBD-1530-ST-026.txt	NOBD	1530	ST	026.txt	NA	Aufmerkung	NEIN	auf	SG	NEIN	JA	NA	hoch	postnom	KEIN	mit
1204	nd daß Eliakim vielmehr in einer weltlichen hohen 	Bedienung	 bey dem Könige Hißkia gestanden. Jedoch war auch 	OMD-1710-KT-137.txt	OMD	1710	KT	137.txt	NA	Bedienung	NEIN	be	SG	NEIN	NEIN	NA	hoch	NA	u	in
1516	n wolten/  welche schäden er dazumal mit höchster 	bethewrung	/ auff ain Pfund/ fünff Schilling pfenning/ anzaig	OOBD-1590-ST-neu.txt	OOBD	1590	ST	neu.txt	NA	Beteuerung	NEIN	be	SG	NEIN	JA	NA	hoch	NA	KEIN	mit
1542	ch/ Leib vn_Leben antrifft)  wöllest inn höchster 	erwegung	/ solches Rechtens/ auch das Fürstlichen Gelaits/ 	OOBD-1590-ST-neu.txt	OOBD	1590	ST	neu.txt	NA	Erwägung	NEIN	er	SG	NEIN	JA	NA	hoch	postnom	KEIN	in
452	in pfund Pulvers geladen worden ist.  Die höchste 	ladung	 aber des andern Geschützes/ so eisen füret/  vnd 	NOBD-1590-ST-neu.txt	NOBD	1590	ST	neu.txt	NA	Ladung	NEIN	NA	SG	JA	NEIN	NA	hoch	NA	b	NA
668	Zwey Trost= und Grab=lieder/  bey Hochansehlicher 	Beerdigung	 Des WolEdlen/ Gestrengen/ Fürsichtigen und Hochwe	NOBD-1680-KT-neu.txt	NOBD	1680	KT	neu.txt	NA	Beerdigung	NEIN	be	SG	NEIN	JA	NA	hochansehnlich	postnom	KEIN	bei
78	um dieser Welt berühmten *Republic* hochgepriesenes Regiment heilsamehochgepriesenes  Regiment heilsame Gesetze und 	Ordnungen	 zu erkennen/  sich eine Zeitlang aufgehalten/ geg	NOBD-1680-KT-neu.txt	NOBD	1680	KT	neu.txt	NA	Ordnung	NEIN	NA	PL	JA	NEIN	NA	hochgepriesen	prenom	s	NA
3360	 blieben/  sich verleiten lassen/ mit hochmütiger 	verachtung	 dessen/ was ihnen hievon zur getreuenNachricht/ i	WOBD-1710-KT-neu.txt	WOBD	1710	KT	neu.txt	NA	Verachtung	NEIN	ver	SG	NEIN	JA	NA	hochmuetig	postnom	KEIN	mit
2519	rtheste  Gabe des Heil. Geistes/ zu hochnöthiger  	Erleuchtung	 ihres[_?]Hertzens/  und seliger Erkäntnüs des Wil	WMD-1680-KT-122.txt	WMD	1680	KT	122.txt	NA	Erleuchtung	NEIN	er	SG	NEIN	JA	NA	hochnoetig	postnom	KEIN	zu
1215	le vielen zu der höchsterwünschten  Sättigung und 	Erquickung	 konte dienlich seyn.   Aber sehet/ dieser Nagel i	OMD-1710-KT-137.txt	OMD	1710	KT	137.txt	NA	Erquickung	NEIN	er	SG	NEIN	NEIN	NA	hoechsterwuenscht	NA	b	zu
1214	anmuthige Quelle vielen zu der höchsterwünschten  	Sättigung	 und Erquickung konte dienlich seyn.   Aber sehet/	OMD-1710-KT-137.txt	OMD	1710	KT	137.txt	NA	Sättigung	NEIN	NA	SG	NEIN	NEIN	NA	hoechsterwuenscht	NA	b	zu
573	und Geist hat/ zu Papier setzen/  muß von höherer 	Eingebung	 herflüssen/  man wolle gleich solches einem reine	NOBD-1650-ST-099.txt	NOBD	1650	ST	099.txt	NA	Eingebung	NEIN	ein	SG	NEIN	JA	NA	hoeher	NA	KEIN	von
1456	ser Seel der stoltzen spodt/ vnnd der Hoffertigen 	verachtung	.</z>    DOch ist hiebey zum anhang diß zu mercken	OOBD-1590-KT-056.txt	OOBD	1590	KT	056.txt	NA	Verachtung	NEIN	ver	SG	NEIN	NEIN	NA	hoffaertig	NA	b	NA
1846	-------------------[045]  durch ein im_erwehrende 	Neigung	/ die es haben muß GOtt zu gehorsamen/  ihm zugefa	OOBD-1710-KT-neu.txt	OOBD	1710	KT	neu.txt	NA	Neigung	NEIN	NA	SG	JA	NEIN	NA	immerwaehrend	NA	u	durch
2880	irdt nun seine ewige verdamnus vnnd jmmerwehrende 	verzweifflung	  (mit dern er niemandt förchtet) verstanden/ alle	WOBD-1620-KT-079.txt	WOBD	1620	KT	079.txt	NA	Verzweiflung	NEIN	ver	SG	NEIN	NEIN	NA	immerwaehrend	prenom	s	NA
5068	scheinen diese Worte *Plinii: <z>[...]</z>* d. i. miteinander/ oder noch eigentlicher/ Wechsels-Weise nach einander singen/ zimlicher massten[sic!] zu bestaettigen/ die von vielen in Zweiffel gezogene	Erzehlung	*Socratis lib. VI. c. 8.* Da dieser Kyrchen-*Scribent* von dem Ursprung der Wechsel Gesaenge/ welche sonsten *Antiphonae* genennet werden/ folgendes anfuehret: <z>[...]</z>%-----------------------------------------------------------------[07] <z>[...]</z> Erhellet demnach	NOBD-1710-KT-neu.txt	NOBD	1710	KT	neu.txt	NA	Erzaehlung	NEIN	er	SG	NEIN	NEIN	NA	in_Zweifel_gezogen	NA	b	NA
1813	wirst in ihm die Ruhe finden/ und jene innerliche 	Besitzung	 deß höchsten Guts/ welche  dich wird würdig mache	OOBD-1710-KT-neu.txt	OOBD	1710	KT	neu.txt	NA	Besitzung	NEIN	be	SG	NEIN	NEIN	NA	innerlich	NA	s	NA
1860	ß mit dem mündlichen Gebett/  mit der innerlichen 	Betrachtung	 angefrischet  und angeblasen werden.  Dise Neigun	OOBD-1710-KT-neu.txt	OOBD	1710	KT	neu.txt	NA	Betrachtung	NEIN	be	SG	NEIN	NEIN	NA	innerlich	NA	b	mit
3304	  Dichtung sich auffthun/ daß also die innerliche 	Bewegung	/  genannt *spiritus animalis,* darzu kommen/  sol	WOBD-1680-ST-116.txt	WOBD	1680	ST	116.txt	NA	Bewegung	NEIN	be	SG	NEIN	NEIN	NA	innerlich	NA	b	NA
2484	ieff/ begreiffen vnnd erklären wir die innerliche 	Meinung	 vnsers Gemüths: das Bild *repræsenti-*ret  nur gl	WMD-1650-ST-104.txt	WMD	1650	ST	104.txt	NA	Meinung	NEIN	NA	SG	JA	NEIN	NA	innerlich	NA	b	NA
3307	rd/ damit die *spiritus animales* oder jnnerliche 	Würckung	 des Athems/  welche das Gedächtnuß vollbringen/ m	WOBD-1680-ST-116.txt	WOBD	1680	ST	116.txt	NA	Wirkung	NEIN	NA	SG	JA	NEIN	NA	innerlich	NA	b	NA
5105	wuerde auss demselben eben dises/ dass es die warheit sey/ noch mehrers vnd klaerlicher erscheinen. Aber wie bey dem ersten Puncten die Vnwarheit einiger *introducirten*	Newerunge	Hochgedachten Thumbherrn/ beider Ertz vnd Hoherstifft Coelln vnd Strassburg schuld geben/ also beschicht jhnen auch in disem nit wenigere *calumnia,* sintemal er der von Kriechingen/	WOBD-1590-ST-neu2.txt	WOBD	1590	ST	neu2.txt	NA	Neuerung	NEIN	NA	PL	JA	NEIN	NA	introduziert	NA	s	NA
1825	------[036]  den jenigen/ die sich der irrdischen 	Vergnügung	 entblössen/ und sich befleissen  dir zu gefallen	OOBD-1710-KT-neu.txt	OOBD	1710	KT	neu.txt	NA	Vergnügung	NEIN	ver	SG	NEIN	NEIN	NA	irdisch	NA	b	NA
2934	e der Warheit ähnlich sein. Hat aber diese jrrige 	meinung	 in seim letzten Cometen 1607. selbs widerruffen/ 	WOBD-1620-ST-078.txt	WOBD	1620	ST	078.txt	NA	Meinung	NEIN	NA	SG	JA	NEIN	NA	irrig	NA	s	NA
357	rkehren/ falsche *Gloss[e?]s* machen/ jhre jrrige 	Meinungen	 spargieren vnd außsprengen/ vnnd die Einfältigen 	WMD-1650-ST-104.txt	WMD	1650	ST	104.txt	NA	Meinung	NEIN	NA	PL	JA	NEIN	NA	irrig	prenom	s	NA
3353	18. von denen Widertäuffern/ und der jämmerlichen 	Spaltung	/ samt den mancherley erschrecklichen Jrrthümmern 	WOBD-1710-KT-neu.txt	WOBD	1710	KT	neu.txt	NA	Spaltung	NEIN	NA	SG	JA	NEIN	NA	jaemmerlich	NA	b	NA
2287	g seiner Schwermerey legt/ nicht ohne jämmerliche 	Zerrüttung	 der Kirchen daselbs/ welche zuvor durchauß mit de	WMD-1590-KT-neu.txt	WMD	1590	KT	neu.txt	NA	Zerrüttung	NEIN	zer	SG	NEIN	JA	NA	jaemmerlich	postnom	KEIN	ohne
307	                        ?<h1>Wie einer jeglichen  	Anfechtung	 jhr gewisse  Ertzney soll gegeben werden/ Vnterri	NOBD-1560-KT-046.txt	NOBD	1560	KT	046.txt	NA	Anfechtung	NEIN	an	SG	NEIN	NEIN	NA	jeglich	NA	u	NA
310	/ Lehr vnnd vnterricht zugeben/ wie eine yegliche 	Anfechtung	 jhr gewisse Artzney haben möcht/ Bin ich allein  	NOBD-1560-KT-046.txt	NOBD	1560	KT	046.txt	NA	Anfechtung	NEIN	an	SG	NEIN	NEIN	NA	jeglich	NA	u	NA
1386	pffe_ lasse_ noch vhindern Sunder ainer yedliche_ 	Rainigu_g	 Nach gewo_hait iren gangkh%----------------------	OOBD-1530-ST-021.txt	OOBD	1530	ST	021.txt	NA	Reinigung	NEIN	NA	SG	NEIN	NEIN	NA	jeglich	NA	u	NA
1913	amit gelungen/  daß nicht allein in jetztbesagter 	Theilung	 gemelter  beyder Printzen Angelegenheit und Gebüh	OOBD-1710-ST-130.txt	OOBD	1710	ST	130.txt	NA	Teilung	NEIN	NA	SG	JA	JA	NA	jetztbesagt	NA	KEIN	in
789	hkeit. Anno 1584. *publicir*te er auf Kayserliche 	Verordnung	 den *Gre-goriani*schen  Calender/ und richtete na	NOBD-1710-ST-135.txt	NOBD	1710	ST	135.txt	NA	Verordnung	NEIN	ver	SG	NEIN	JA	NA	kaiserlich	NA	KEIN	auf
2734	anckheit.  Welcher überzoge_ wer mit böser kalter 	feüchtung	 in_wendig/ oder außwendig  leibs/ d[er] esse vil 	WOBD-1530-ST-023.txt	WOBD	1530	ST	023.txt	NA	Feuchtung	NEIN	NA	SG	JA	JA	NA	kalt	NA	KEIN	mit
1168	uch die klugen Heyden/ tugendhaffte Beyspiel/ der  kindlichen	Ehrerbietung	 darbieten. So ehrte  seines Feindes *Darii* Mutte	OMD-1680-KT-neu.txt	OMD	1680	KT	neu.txt	NA	Ehrerbietung	NEIN	NA	SG	NEIN	NEIN	NA	kindlich	NA	b	NA
1543	händel betrifft/  wil ich dir/ auß meiner klainen 	Erfarung	 (wiewol ich selbst/ auch ainLay bin/ doch auß Sch	OOBD-1590-ST-neu.txt	OOBD	1590	ST	neu.txt	NA	Erfahrung	NEIN	er	SG	NEIN	JA	NA	klein	prenom	s	aus
358	ch der leidigen Erfahrung der Sathan durch kleine 	Versuchungen	/ und klein=scheinende Sünden/ die Menschen zu grö	WMD-1680-KT-122.txt	WMD	1680	KT	122.txt	NA	Versuchung	NEIN	ver	PL	NEIN	NEIN	NA	klein	NA	KEIN	durch
1549	ereilte vnbilligkait/ aber was vmb klain schätzig 	forderung	 ist/ darinnen kan niemands/  mercklich belaidigt 	OOBD-1590-ST-neu.txt	OOBD	1590	ST	neu.txt	NA	Forderung	NEIN	NA	SG	JA	NEIN	NA	kleinschaetzig	NA	KEIN	um
2638	ch schwächern[?]/  unter tapfrer und klugmüthiger 	Anführung	 der zweyen Weltberühmten  Kriegs=Helden/ nemlich 	WMD-1710-ST-142.txt	WMD	1710	ST	142.txt	NA	Anführung	NEIN	an	SG	NEIN	JA	NA	klugmuetig	postnom	KEIN	unter
1106	Lautam operationem,*</l> die köstliche krafft un_ 	würckung	  unsers HochEdlen Noth und Todtzuckers/ und wz al	OMD-1650-KT-neu2.txt	OMD	1650	KT	neu2.txt	NA	Wirkung	NEIN	NA	SG	JA	NEIN	NA	koestlich	NA	b	NA
1781	t vollkommener und wichtiger dabey die kräfftige 	Wirckung	 und Bequemlichkeit der einsylbigen Wörter/ sonder	OOBD-1680-ST-111.txt	OOBD	1680	ST	111.txt	NA	Wirkung	NEIN	NA	SG	JA	NEIN	NA	kraeftig	NA	b	NA
5053	Bap. Mantuano, Blondo, Nauclero* vnd vilen andern Geschichtschreibern warhafftig zufinden. Das ist nuhn/ wahrliebender Teutscher/ der Newerung eine/ darueber also haefftig inn der vermeinten Krieychingischen	Erklaerung/	geklagt wirdt/ Nemlichen/ dass man vil lieber nach der Einsatzung Gottes/ nach Christi Ordnung/ nach der H. Aposteln/ *Concilien* vnd Vaettern/ auch etlicher frommer verstaendigen	WOBD-1590-ST-neu2.txt	WOBD	1590	ST	neu2.txt	NA	Erklaerung	NEIN	er	SG	NEIN	NEIN	NA	Krieychingisch	NA	b	in
2904	rnach. Kein gewisser/ oder kündlicher Zeichen vnd 	Losung	 kondte jhnen gegeben werden als eben in diesen Bl	WOBD-1620-ST-078.txt	WOBD	1620	ST	078.txt	NA	Losung	NEIN	NA	SG	JA	NEIN	NA	kuendlich	NA	KEIN	NA
159	*Gloire* ihres Monarchen  durch die künstlichsten 	Erfindungen	 zu verewigen.  Dieser Eingang/ den ich von der So	OMD-1710-ST-neu3.txt	OMD	1710	ST	neu3.txt	NA	Erfindung	NEIN	er	PL	NEIN	NEIN	NA	kuenstlich	NA	b	durch
1108	menheit übertreflichen Ehrenstand kunstrichtige 	Verfassung	  un_ grundmäßige Wortschreibung  zu bringen/ und	OMD-1650-ST-101.txt	OMD	1650	ST	101.txt	NA	Verfassung	NEIN	ver	SG	NEIN	NEIN	NA	kunstrichtig	NA	KEIN	NA
246	n fürgehaltenen Artickern greiffen/ ein kurtze 	ab laynung	 thun/ damit die oren vn_ hertzen etlicher etliche	NOBD-1530-KT-027.txt	NOBD	1530	KT	027.txt	NA	Ableinung	NEIN	ab	SG	NEIN	NEIN	NA	kurz	NA	u	NA
390	ftung der Vorfahren sein. Das ist nun eine kurtze 	Erjnnerung	 nach dem Ersten Gebot.   JM Andern Gebot wöllen w	NOBD-1590-KT-063.txt	NOBD	1590	KT	063.txt	NA	Erinnerung	NEIN	er	SG	NEIN	NEIN	NA	kurz	NA	u	NA
2922	inem Ort/ die an dem andern/  wegen jhren kurtzen 	wehrung	/ vnd stätigem Regenwetter gar nicht in acht genom	WOBD-1620-ST-078.txt	WOBD	1620	ST	078.txt	NA	Währung	NEIN	NA	SG	JA	JA	NA	kurz	prenom	s	wegen
419	ng wirige: die kleine hingegen geringe vnd kurtze 	würckungen	 zu haben pflegen: So wird ein jeder hierauß die W	WOBD-1650-ST-095.txt	WOBD	1650	ST	095.txt	NA	Wirkung	NEIN	NA	PL	JA	NEIN	NA	kurz	NA	KEIN	NA
2966	  dann auch wegen ihrer Grösse auff 11. Zoll/ vnd langer	Wärung	 bey dritthalb Stunden/ dahero grosse vnd langwäre	WOBD-1650-ST-095.txt	WOBD	1650	ST	095.txt	NA	Währung	NEIN	NA	SG	JA	NEIN	NA	lang	NA	KEIN	NA
1244	Man gebe zu/ daß er sich Zeit seiner langwierigen 	Regierung	 durch allerhand löblicheOrdnungen nicht anders al	OMD-1710-ST-neu3.txt	OMD	1710	ST	neu3.txt	NA	Regierung	JA	NA	SG	NA	NEIN	NA	langwierig	prenom	s	NA
415	uß augenscheinlicher  erfarenheit vnd langwiriger 	übung	 erlernt werden muß. Derwegen  einem anfahenden Bü	NOBD-1590-ST-neu.txt	NOBD	1590	ST	neu.txt	NA	Übung	NEIN	NA	SG	JA	NEIN	NA	langwierig	NA	KEIN	aus
3009	ann wir vnserem Elsaß ein starcke vnnd langwirige 	Würckung	 verkündigen müssen/ weil wie obgemeld/ diese Fins	WOBD-1650-ST-095.txt	WOBD	1650	ST	095.txt	NA	Wirkung	NEIN	NA	SG	JA	NEIN	NA	langwierig	NA	u	NA
1275	st jm den_? Daz gebrist jm er hat nit ein lautere 	meinung	 die jn trib zuo tugende_/ mer jn tribet forcht d[	OOBD-1500-KT-003.txt	OOBD	1500	KT	003.txt	NA	Meinung	NEIN	NA	SG	JA	NEIN	NA	lauter	NA	u	NA
1274	tung der gebot  gereiniget werd mit einer luteren 	meinu_g	. Du findest etwen einen mensche_/  der übet werck	OOBD-1500-KT-003.txt	OOBD	1500	KT	003.txt	NA	Meinung	NEIN	NA	SG	JA	NEIN	NA	lauter	NA	u	mit
2391	* gehalten/ durch Jhr lauter *rati-fication*  vnd 	Verschreibung	/ mit gemeinem Rath vnd Willen/ vnd rechter Wissen	WMD-1620-ST-088.txt	WMD	1620	ST	088.txt	NA	Verschreibung	NEIN	ver	SG	NEIN	JA	NA	lauter	prenom	s	durch
3415	ein  aus der bloßen Fäule ihre lebende Krafft und 	Wirckung	 erzeigen/ welches billich ein wunder über Wunder 	WOBD-1710-ST-133.txt	WOBD	1710	ST	133.txt	NA	Wirkung	NEIN	NA	SG	JA	NEIN	NA	lebend	prenom	s	NA
3445	ärme kan keine Geburt einen lebendigen  Athem und 	Bewegung	 an sich nehmen/ kan solches  ohne die Lufft nicht	WOBD-1710-ST-133.txt	WOBD	1710	ST	133.txt	NA	Bewegung	NEIN	be	SG	NEIN	NEIN	NA	lebendig	NA	u	NA
3428	Grunde erlernen/ wodurch und worauß die lebendige 	Erweckung	  und Geburt aus solcher Fäulung herkomme/  nicht 	WOBD-1710-ST-133.txt	WOBD	1710	ST	133.txt	NA	Erweckung	NEIN	er	SG	NEIN	NEIN	NA	lebendig	NA	b	NA
3417	sen/ dieweil ihr solche lebendige  Vermehrung und 	Erweckung	 ihres Lebens%----------------[007]  am meisten in	WOBD-1710-ST-133.txt	WOBD	1710	ST	133.txt	NA	Erweckung	NEIN	er	SG	NEIN	NEIN	NA	lebendig	NA	s	NA
3416	e Natur zugelassen/ dieweil ihr solche lebendige  	Vermehrung	 und Erweckung ihres Lebens%----------------[007] 	WOBD-1710-ST-133.txt	WOBD	1710	ST	133.txt	NA	Vermehrung	NEIN	ver	SG	NEIN	NEIN	NA	lebendig	NA	s	NA
1469	jhres Lebens/ eine stetige witzung/ vnd lebendige 	Warnung	 sein.     Diß ist eins/ bey dieser Mahlzeit Gäste	OOBD-1590-KT-056.txt	OOBD	1590	KT	056.txt	NA	Warnung	NEIN	NA	SG	JA	NEIN	NA	lebendig	NA	KEIN	NA
51	n st*udien* (denen zwar anderwertliche aber leere 	Versprechungen	  zweyer *stipendien* geschehen) in dieser schwere	NOBD-1650-KT-100.txt	NOBD	1650	KT	100.txt	NA	Versprechung	NEIN	ver	PL	NEIN	NEIN	NA	leer	NA	KEIN	NA
582	 Andachten.  Etliche vermeinen daß die Lehrartige 	Verfassung	 der Po*ë*terey nicht vonnöhten/  (da doch alles w	NOBD-1650-ST-099.txt	NOBD	1650	ST	099.txt	NA	Verfassung	NEIN	ver	SG	NEIN	NEIN	NA	lehrartig	NA	b	NA
195	 derselben/ in allen deinen geist= vnd leiblichen 	Anfechtungen	 vnd widerwertigkeiten.  Kombt du in Creutz/ Noth 	OOBD-1620-KT-075.txt	OOBD	1620	KT	075.txt	NA	Anfechtung	NEIN	an	PL	NEIN	NEIN	NA	leiblich	NA	s	in
1461	z/ Bey stettigem Volauff vnd vberfluß  leiblicher 	Narung	/ wird man gemeinigklich geil vnd freuelmutig/ bey	OOBD-1590-KT-056.txt	OOBD	1590	KT	056.txt	NA	Nahrung	NEIN	NA	SG	JA	NEIN	NA	leiblich	NA	KEIN	NA
1286	gefallen/  Du begerest dir gesundtheit/ leipliche 	narung	 vnnd andere ding/ so vil als sy dir nütz vnd nott	OOBD-1500-KT-003.txt	OOBD	1500	KT	003.txt	NA	Nahrung	NEIN	NA	SG	JA	NEIN	NA	leiblich	NA	KEIN	NA
1462	hn dieses schandt vber schandt ist/ für leibliche 	Nahrung	 vnd das tägliche Brod GOTT dem Allmechtigen vnnd 	OOBD-1590-KT-056.txt	OOBD	1590	KT	056.txt	NA	Nahrung	NEIN	NA	SG	JA	NEIN	NA	leiblich	NA	KEIN	für
1453	m Volck/ sie  mit jrrdischem Brod vnnd leiblicher 	Narung	 zu versorgen/ wie viel mehr muß sein Hertz gewill	OOBD-1590-KT-056.txt	OOBD	1590	KT	056.txt	NA	Nahrung	NEIN	NA	SG	JA	NEIN	NA	leiblich	NA	KEIN	mit
5100	wir dem barmhertzigen Vatter im Himmel/ der in diesen jetzigen elenden und betruebten Zeiten/ da der Krieg fast ganz *Europam* ueberschwemmet/ und die Gewerbe leiblicher	Nahrung	aller Orten ins stecken gerathen/ dennoch so viel geistlichen Seegen uns Unwuerdigen hat geschenket/ dass seine schoene und erbauliche Gottesdienste unter uns in vollem Schwange	NOBD-1710-KT-neu.txt	NOBD	1710	KT	neu.txt	NA	Nahrung	NEIN	NA	SG	JA	NEIN	NA	leiblich	NA	KEIN	NA
268	emaine_ vn_  sunderlichen Concilia/ vnd leybliche 	versamlung	/ auch ein kirch genent werden.  <h1>Was die heyli	NOBD-1530-KT-027.txt	NOBD	1530	KT	027.txt	NA	Versammlung	NEIN	ver	SG	NEIN	NEIN	NA	leiblich	NA	KEIN	NA
1377	Vnd ir speyß sol sein guetter narung vnd leichter 	dewung	/ Alls prue von iungen hennen/ hüennern kalbfleiß/	OOBD-1530-ST-021.txt	OOBD	1530	ST	021.txt	NA	Dauung	NEIN	NA	SG	JA	NEIN	NA	leicht	NA	KEIN	in
2563	alle eigenmächtige/ liederliche und leichtfertige 	Trennung	 außschliesset? Dann wer würde sonsten dergleichen	WMD-1680-ST-neu.txt	WMD	1680	ST	neu.txt	NA	Trennung	NEIN	NA	SG	JA	NEIN	NA	leichtfertig	NA	KEIN	NA
