Nr	Text_vorher	UNG.NOM	Text_danach	Dateiname	Textsorte	Periode	Sprachraum	Jahr	Jahrzehnt	Titelstichwort	Erstglied	Lemma	Adj	Det	als_praep_Kompl	Praeposition	Genitiv	Zweitglied	Numerus	Simplexbasis	Fremdwortbasis	Praefix	Basisverb	
5114	 es fuer den Lehrer, der sich der gemeinnuetzigen 	Bestimmung	 alles oeffentlichen Unterrichts und der Faehigkei	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Bestimmung	gemeinnützig	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	be	bestimmen	
5115	nnt machen, wie fern er sich in den Schranken der 	Vorbereitung	 halten, und wie viel er dem kuenftigen eigenen St	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Vorbereitung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	vor	vorbereiten	
5117	eier, Mendelssohn, und Eberhard wie bestimmt die 	Wuerdigung	 ihrer Verdienste und besonders die Parallele zwis	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Würdigung	NA	b	NEIN	NA	postnom	NA	SG	JA	NEIN	NA	wuerdigen	
5120	ebracht hat beylaeufig auch ueber die sonderbare 	Erscheinung	, daÃŸ vielleicht keine Nation die Kritik jemals s	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Erscheinung	sonderbar	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	er	erscheinen	
5122	senten hat der Augenschein und die sorgfaeltigste 	Durchlesung	 des vor uns liegenden Lehrbuchs hinlaenglich best	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Durchlesung	sorgfältig	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	durch	durchlesen	
5132	her als der einer moralischen, weil bey jener die 	Bestimmung	 des subjectiven Welches wegfaellt, welche bey die	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Bestimmung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	be	bestimmen	
5138	heinlich ist? Ueber den Begriff und Grundsatz der 	Nachahmung	, S.76-83. Haette nicht diese ganze Untersuchung n	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Nachahmung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	nach	nachahmen	
5142	fuehrten und so sehr bestrittenen Grundsatzes der 	Nachahmung	 selbst, den so bekannten und so deutlichen Unters	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Nachahmung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	nach	nachahmen	
5153	. Jn der Vorrede noch ein kleiner Nachtrag zu den 	Bemerkungen	 des Hrn. Herausgebers, in dem ersten Bande dieser	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Bemerkung	NA	b	NEIN	NA	postnom	NA	PL	NEIN	NEIN	be	bemerken	
5167	iesen. Jhr Ursprung sey keineswegs in den letzten 	Endigungen	 der Schlagadern, sondern in allen innern und aeus	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Endigung	letzte	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	NA	endigen	
5169	utchen und den Haaren gelte, wenn hier anders die 	Meinung	 bestimmt genug ausgedrueckt ist. Er sah, gegen He	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Meinung	NA	b	NEIN	NA	KEIN	NA	SG	JA	NEIN	NA	meinen	
5177	nterliefe. Schade waere es nun freilich, wenn die 	Beschuldigung	, daÃŸ M. manches nach der Analogie beschrieben ha	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Beschuldigung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	be	beschuldigen	
5178	n auch abgebildet hat. Der 2te Theil enthaelt die 	Erklaerung	 der Kupfertafeln. Aus, bei einem gemeinnuetzigen 	NEWS_P3_OOD_1790_erlangen.txt	NEWS	P3	OOD	1790	1795	erlangen.txt	NA	Erklärung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	er	erklaeren	
5180	r Stadt ueber Valenciennes von einem Mitglied der 	Nationalversammlung	 von Frankreich das Breve des Pabsts erhalten, wel	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	National	Versammlung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ver	versammeln	
5182	en Catholiken noch groÃŸ genug, daÃŸ die National-	Versammlung	 von ihnen Widerstand befuerchten muÃŸ, wenn der w	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	National	Versammlung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ver	versammeln	
5186	 zu raechen, welche die angebliche Jrreligion der 	Nationalversammlung	 wider sie erregt. Man hat Mitleid mit diesen arme	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	National	Versammlung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ver	versammeln	
5188	Aus Hollaendischen Zeitungen.) Wir haben hier die 	Bestaettigung	 erhalten von dem Vorfall mit einigen Uhlanen, die	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Bestätigung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	be	bestaetigen	
5193	 aus Buckarest und Krajova geben den Fortgang der 	Friedensunterhandlungen	 zu Czistow noch immer fuer sehr unzuverlaessig an	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	Friedens	Unterhandlung	NA	b	NEIN	NA	KEIN	NA	PL	NEIN	NEIN	unter	unterhandeln	
5198	fuehren, es ist ihnen aber nicht gelungen. *) Die 	Gaehrung	 in StraÃŸburg waehrt schon lange. Bereits am 4. J	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Gährung	NA	b	NEIN	NA	KEIN	NA	SG	JA	NEIN	NA	gaehren	
5201	noni, die Gattin des Praesidenten der Seminariums-	Versammlung	 war die Anfuehrerin dieser Weiber-Ambassade. Es e	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	Seminariums	Versammlung	deutsch	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ver	versammeln	
5205	 der Gemeinde-Rath den Secretaire der Seminariums-	Versammlung	 und den Praesidenten dieser Versammlung, Hrn. May	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	Seminariums	Versammlung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ver	versammeln	
5210	ten Elsasser Beschwerdsache ist bey der deutschen 	Reichsversammlung	 zu Regensburg von Seiten Frankreichs noch kein An	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	Reichs	Versammlung	deutsch	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ver	versammeln	
5211	 und Jahrs folgende Note uebergeben: â€žJndem die 	Nationalversammlung	 die Abschaffung der Lehensverfassung beschlossen 	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	National	Versammlung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ver	versammeln	
5212	 uebergeben: â€žJndem die Nationalversammlung die 	Abschaffung	 der Lehensverfassung beschlossen hat, erstreckte 	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Abschaffung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	ab	abschaffen	
5213	Jndem die Nationalversammlung die Abschaffung der 	Lehensverfassung	 beschlossen hat, erstreckte sie dieselbe auf alle	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	Lehens	Verfassung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ver	verfassen	
5214	migkeit nicht entgegen zu handeln. Jedoch hat die 	Versammlung	 zu Folge der von Sr. Majest. gemachten Bemerkunge	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Versammlung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ver	versammeln	
5218	 Fuerstbischof zu Speyer, zu bewegen, den Weg der 	Entschaedigung	 zu genehmigen, und zu dem Ende die Erlaeuterungen	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Entschädigung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ent	entschaedigen	
5219	Entschaedigung zu genehmigen, und zu dem Ende die 	Erlaeuterungen	 mitzutheilen, welche noethig sind, die dahin geei	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Erläuterung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	er	erlaeutern	
5221	 eine bestimmte Erklaerung zu ertheilen, weil die 	Entschaedigung	 noch nicht ausdruecklich beschlossen, auch weder 	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Entschädigung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ent	entschaedigen	
5222	eschlossen, auch weder in Betreff des Betrags der 	Entschaedigung	, noch wegen der Art, womit solche zu bewirken wae	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Entschädigung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ent	entschaedigen	
5224	orinn die Beschwerden Sr. Hochfuerstl. Gnaden die 	Erledigung	 finden, und das Jnteresse Hochderoselben mit den 	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Erledigung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	er	erledigen	
5225	Jnteresse Hochderoselben mit den Grundsaetzen der 	Nationalversammlung	 vereinbaret werden koennte. Diese Grundsaetze sin	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	National	Versammlung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ver	versammeln	
5226	, als sie mit der in Frankreich getroffenen neuen 	Einrichtung	 in der engsten Verbindung stehen. Uebrigens ist U	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Einrichtung	neu	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ein	einrichten	
5228	ird, 1) daÃŸ derjenige, welcher zu den angehenden 	Unterhandlungen	 beauftraget wird, alle Noten mitbringe, welche er	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Unterhandlung	angehend	b	NEIN	NA	KEIN	NA	PL	NEIN	NEIN	unter	unterhandeln	
5229	le Noten mitbringe, welche erforderlich sind, die 	Besitzungen	 des Herrn Fuerstbischofs von Speyer, ihre Beschaf	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Besitzung	NA	b	NEIN	NA	postnom	NA	PL	NEIN	NEIN	be	besitzen	
5230	en Betrag, sondern auch die Art der zu leistenden 	Entschaedigung	 zu untersuchen und vestzusetzen. Mannheim, den 16	NEWS_P3_OOD_1791_bayreuth.txt	NEWS	P3	OOD	1791	1795	bayreuth.txt	NA	Entschädigung	zu leistend	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ent	entschaedigen	
5238	nsehnlich, und pflanzen, ausser den gewoehnlichen 	Getraidegattungen	 und dem Weine, auch Tabak und Rebs mit so gutem E	NEWS_P3_WMD_1784_mannheim.txt	NEWS	P3	WMD	1784	1785	mannheim.txt	Getreide	Gattung	gewöhnlich	b	NEIN	NA	KEIN	NA	PL	JA	NEIN	NA	gatten	
5240	oechstdieselbe bei Dero Anwesenheit in Mantua die 	Anlegung	 einer eine neuen Strase in das Venezianische Gebi	NEWS_P3_WMD_1784_mannheim.txt	NEWS	P3	WMD	1784	1785	mannheim.txt	NA	Anlegung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	an	anlegen	
5241	ie aus Vorsicht und bis zur Ankunft der hoechsten 	Entschliesung	 dem Hofkriegsrath wissen lieÃŸ, wie sie glaube, d	NEWS_P3_WMD_1784_mannheim.txt	NEWS	P3	WMD	1784	1785	mannheim.txt	NA	Entschließung	höchste	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ent	entschliessen	
5243	hysiker wollen jemand nach Paris schicken, um die 	Verfertigung	 der Luftballen recht abzusehen. Muenchen, den 14.	NEWS_P3_WMD_1784_mannheim.txt	NEWS	P3	WMD	1784	1785	mannheim.txt	NA	Verfertigung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	ver	verfertigen	
5244	s in seinem Bette. Amerikanische Nachrichten. Die 	Raeumung	 der Stadt Neu-York von den Brittischen Kriegsvoel	NEWS_P3_WMD_1784_mannheim.txt	NEWS	P3	WMD	1784	1785	mannheim.txt	NA	Räumung	NA	b	NEIN	NA	postnom	NA	SG	JA	NEIN	NA	raumen	
5245	geschahe am 22. Windm., am 1. Christm. sollte die 	Besiznehmung	 der Amerikaner gefeiert werden. Vor gedachter Rae	NEWS_P3_WMD_1784_mannheim.txt	NEWS	P3	WMD	1784	1785	mannheim.txt	NA	Besitznehmung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	be	besitznehmen	
5250	hlet werden sollte, um zu berathschlagen, wie die 	Besiznehmung	 am schicklichsten gefeiert und der Gouverneur am 	NEWS_P3_WMD_1784_mannheim.txt	NEWS	P3	WMD	1784	1785	mannheim.txt	NA	Besitznehmung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	be	besitznehmen	
5252	ende mit einigen andern in aehnlichen Faellen der 	Verkleinerung	 befindlichen Bisthuemern mit einer grosen weltlic	NEWS_P3_WMD_1784_mannheim.txt	NEWS	P3	WMD	1784	1785	mannheim.txt	NA	Verkleinerung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ver	verkleinern	
5256	Erwaehnung vielleicht manchem Leser die ungleiche 	Austheilung	 der Schicksalslose aufgefallen seyn mag dieser h	NEWS_P3_WMD_1784_mannheim.txt	NEWS	P3	WMD	1784	1785	mannheim.txt	NA	Austeilung	ungleich	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	aus	austeilen	
5262	ten ueberzeugen kann, die promteste und reelleste 	Bedienung	 zusichert. Von Erziehungs- und Kinderschriften, v	NEWS_P3_WMD_1784_mannheim.txt	NEWS	P3	WMD	1784	1785	mannheim.txt	NA	Bedienung	reell	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	be	bedienen	
5266	 Ordnung der Lesebibliothek bei ihm zu haben. Die 	Fortsezung	 dieser Supplementen kommt von 14 zu 14 Tagen hera	NEWS_P3_WMD_1784_mannheim.txt	NEWS	P3	WMD	1784	1785	mannheim.txt	NA	Fortsetzung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	fort	fortsetzen	
5269	                              ï»¿Die neue Mainzer 	Zeitung	 oder der Volksfreund. Nro. 13. Dienstags den 29. 	NEWS_P3_WMD_1793_mainz.txt	NEWS	P3	WMD	1793	1795	mainz.txt	NA	Zeitung	neu	b	NEIN	NA	KEIN	NA	SG	JA	NEIN	NA	NA	
5274	den allgemeinen Rath zu befragen, ob derselbe die 	Anstellung	 besagter Ausschuesse genehmigt, und zu dem Ende w	NEWS_P3_WMD_1793_mainz.txt	NEWS	P3	WMD	1793	1795	mainz.txt	NA	Anstellung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	an	anstellen	
5275	rufen, um zu wissen, ob derselbe die vorerwaehnte 	Ernennung	 billigt, und dazu seine Einwilligung geben will. 	NEWS_P3_WMD_1793_mainz.txt	NEWS	P3	WMD	1793	1795	mainz.txt	NA	Ernennung	vorerwähnt	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	er	ernennen	
5277	ns Gaudin, hier angekommen. - Die Grundsaetze und 	Meinungen	 der Franken, welche er hier zu verbreiten sucht, 	NEWS_P3_WMD_1793_mainz.txt	NEWS	P3	WMD	1793	1795	mainz.txt	NA	Meinung	NA	b	NEIN	NA	postnom	NA	PL	JA	NEIN	NA	meinen	
5278	en, welche er hier zu verbreiten sucht, haben die 	Wirkung	 hervorgebracht, daÃŸ die Muselmaenner den ehmalig	NEWS_P3_WMD_1793_mainz.txt	NEWS	P3	WMD	1793	1795	mainz.txt	NA	Wirkung	NA	b	NEIN	NA	KEIN	NA	SG	JA	NEIN	NA	wirken	
5279	m Poebel ihm zugedachten, nicht allzuglimpflichen 	Behandlungen	 zu entgehen, und hatte kaum noch so viel Zeit, si	NEWS_P3_WMD_1793_mainz.txt	NEWS	P3	WMD	1793	1795	mainz.txt	NA	Behandlung	allzuglimpflich	b	NEIN	NA	KEIN	NA	PL	NEIN	NEIN	be	behandeln	
5284	 Republik, und giebt als eine Folge derselben die 	Bemuehungen	 und Listen an, die an der Graenze Statt gehabt ha	NEWS_P3_WMD_1793_mainz.txt	NEWS	P3	WMD	1793	1795	mainz.txt	NA	Bemühung	NA	b	NEIN	NA	KEIN	NA	PL	NEIN	NEIN	be	bemuehen	
5285	odurch sich ihre Hochmoegende bewogen fanden, die 	Rekrutirung	 zu fremden Kriegsdiensten in dem Gebiete der Repu	NEWS_P3_WMD_1793_mainz.txt	NEWS	P3	WMD	1793	1795	mainz.txt	NA	Rekrutierung	NA	b	NEIN	NA	KEIN	NA	SG	NA	JA	NA	rekrutieren	
5286	tspunkte England die Besitznahme Belgiens und die 	Oefnung	 der Schelde betrachtet. Meisenheim im Zweibruecki	NEWS_P3_WMD_1793_mainz.txt	NEWS	P3	WMD	1793	1795	mainz.txt	NA	Öffnung	NA	b	NEIN	NA	postnom	NA	SG	JA	NEIN	NA	oeffnen	
5291	" Republik!"" - Der Leiche ward nicht die geringste "	Beleidigung	 zugefuegt man brachte sie in einen dazu bestimmt	NEWS_P3_WMD_1793_mainz.txt	NEWS	P3	WMD	1793	1795	mainz.txt	NA	Beleidigung	gering	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	be	beleidigen	
5300	einigen Tagen hier. Er sollte dem Direktorium die 	Thronbesteigung	 des jungen Koeniges anzeigen. Er schrieb an den M	NEWS_P3_WMD_1797_hanau.txt	NEWS	P3	WMD	1797	1795	hanau.txt	NA	Thronbesteigung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	NA	thronbesteigen	
5315	g widerholte ich den Inhalt des ersten Theils der 	Bemerkungen	, welche Ew. Herrl. sub. Nro 12. hierueber gemacht	NEWS_P3_WMD_1797_hanau.txt	NEWS	P3	WMD	1797	1795	hanau.txt	NA	Bemerkung	NA	b	NEIN	NA	KEIN	NA	PL	NEIN	NEIN	be	bemerken	
5316	wehnt da dies aber nicht eher ein Gegenstand der 	Eroerterung	 zwischen uns ward, als bis ich den Frieden mit Sp	NEWS_P3_WMD_1797_hanau.txt	NEWS	P3	WMD	1797	1795	hanau.txt	NA	Erörterung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	er	eroertern	
5319	s mit Stillschweigen, und begnuegte sich, nur die 	Behauptung	 zu bestreiten, daÃŸ Spanien sich in dem Utrechter	NEWS_P3_WMD_1797_hanau.txt	NEWS	P3	WMD	1797	1795	hanau.txt	NA	Behauptung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	be	behaupten	
5322	hr 1713 so merklich geaendert, daÃŸ die damaligen 	Verpflichtungen	 jetzt nicht mehr, als gueltig angesehen werden ko	NEWS_P3_WMD_1797_hanau.txt	NEWS	P3	WMD	1797	1795	hanau.txt	NA	Verpflichtung	damalig	b	NEIN	NA	KEIN	NA	PL	NEIN	NEIN	ver	verpflichten	
5324	 kurz nachher ereignen moechten und weil man die 	Aenderung	 der Umstaende, so viel als es moeglich gewesen wa	NEWS_P3_WMD_1797_hanau.txt	NEWS	P3	WMD	1797	1795	hanau.txt	NA	Änderung	NA	b	NEIN	NA	postnom	NA	SG	JA	NEIN	NA	aendern	
5329	rmeidlich, diese Sache recht zu erschoepfen. (Die 	Fortsetzung	 folgt.) Hanau, den 28 Januar. Die Verstaerkungen,	NEWS_P3_WMD_1797_hanau.txt	NEWS	P3	WMD	1797	1795	hanau.txt	NA	Fortsetzung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	fort	fortsetzen	
5330	Die Fortsetzung folgt.) Hanau, den 28 Januar. Die 	Verstaerkungen	, die das Belagerungskorps der Oesterreicher vor d	NEWS_P3_WMD_1797_hanau.txt	NEWS	P3	WMD	1797	1795	hanau.txt	NA	Verstärkung	NA	b	NEIN	NA	KEIN	NA	PL	NEIN	NEIN	ver	verstaerken	
5340	uch. Zweites Stuek. Februar 1781. Fortsetzung der 	Abhandlung	 vom Kohl- und Mohnsaamen. Nachdem alles handwerks	NEWS_P3_WOD_1781_heilbronn.txt	NEWS	P3	WOD	1781	1785	heilbronn.txt	NA	Abhandlung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ab	abhandeln	
5342	ch gut Oel - gibt. Dieses war also die drollichte 	Erzehlung	 meines Freund Gaertners. Und nun machte ichs, wie	NEWS_P3_WOD_1781_heilbronn.txt	NEWS	P3	WOD	1781	1785	heilbronn.txt	NA	Erzählung	drollig	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	er	erzaehlen	
5358	e Verordnung bekannt gemacht: Nach der taeglichen 	Erfahrung	 mischen sich unter wahrhaft entkraeftete arme Leu	NEWS_P3_WOD_1784_freiburg1.txt	NEWS	P3	WOD	1784	1785	freiburg1.txt	NA	Erfahrung	täglich	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	er	erfahren	
5364	ihrer Rechte zur Besitznehmung der Krimm, und die 	Unterdrueckung	 aller von der Unabhaengigkeit der Tartaren gesche	NEWS_P3_WOD_1784_freiburg1.txt	NEWS	P3	WOD	1784	1785	freiburg1.txt	NA	Unterdrückung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	unter	unterdruecken	
5365	die Unterdrueckung aller von der Unabhaengigkeit der Tartaren geschehenen 	Erwaehnungen	. Neben dem sagte der kaiserl. koenigl. Botschafte	NEWS_P3_WOD_1784_freiburg1.txt	NEWS	P3	WOD	1784	1785	freiburg1.txt	NA	Erwählung	geschehen	b	NEIN	NA	KEIN	NA	PL	NEIN	NEIN	er	erwaehlen	
5371	schehen werde, nicht wissen. GroÃŸbrittanien. Die 	Veraenderungen	 des neuen Ministeriums machen im Unterhause absch	NEWS_P3_WOD_1784_freiburg1.txt	NEWS	P3	WOD	1784	1785	freiburg1.txt	NA	Veränderung	NA	b	NEIN	NA	postnom	NA	PL	NEIN	NEIN	ver	veraendern	
5376	uf die gemeldte Ueberzeugung der Kammer, daÃŸ die 	Verwaltung	 dieses Landes eine viel zu ernsthafte, und wichti	NEWS_P3_WOD_1784_freiburg1.txt	NEWS	P3	WOD	1784	1785	freiburg1.txt	NA	Verwaltung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	ver	verwalten	
5386	te mit Geisselstreichen. --- In der oeffentlichen 	Zeitung	 sind auch noch diese Fragen aufgeworfen, wem man 	NEWS_P3_WOD_1784_freiburg2.txt	NEWS	P3	WOD	1784	1785	freiburg2.txt	NA	Zeitung	öffentlich	b	NEIN	NA	KEIN	NA	SG	JA	NEIN	NA	NA	
5388	e den Himmel gewuenschet haben, und nun ueber die 	Vereitlung	 ihres Wunsches sehr betruebt sind? -  Es ist derj	NEWS_P3_WOD_1784_freiburg2.txt	NEWS	P3	WOD	1784	1785	freiburg2.txt	NA	Vereitelung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	ver	vereiteln	
5393	oelkert, als man in Erdebeschreibungen liest. Die 	Regierung	 ist pur militaerisch: der kommandirende Major ist	NEWS_P3_WOD_1784_freiburg2.txt	NEWS	P3	WOD	1784	1785	freiburg2.txt	NA	Regierung	NA	b	NEIN	NA	KEIN	NA	SG	NA	JA	NA	regieren	
5395	n der Pest, und das zweytemal bey Gelegenheit der 	Garnisonsveraenderung	. Die Tuerken haben unsere Graenzen noch nie beunr	NEWS_P3_WOD_1784_freiburg2.txt	NEWS	P3	WOD	1784	1785	freiburg2.txt	Garnisons	Veränderung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	ver	veraendern	
5399	n den dazu auserlesnen Staedten verbleiben. - Die 	Irrungen	 der Republik mit dem kaiserlichen Hofe sind beyna	NEWS_P3_WOD_1784_freiburg2.txt	NEWS	P3	WOD	1784	1785	freiburg2.txt	NA	Irrung	NA	b	NEIN	NA	postnom	NA	PL	JA	NEIN	NA	irren	
5404	 Genuesern aufgenommen. Um der verschwenderischen 	Neigung	 der Koenigin zu schmeicheln, und sich ihrer Gnade	NEWS_P3_WOD_1798_tuebingen.txt	NEWS	P3	WOD	1798	1795	tuebingen.txt	NA	Neigung	verschwenderisch	b	NEIN	NA	postnom	NA	SG	JA	NEIN	NA	neigen	
5410	ert all das spanische steife Cerimoniel auf. (Die 	Fortsezung	 folgt.) Kurze Notizen. *Frankreich. (Paris, 5 Jan	NEWS_P3_WOD_1798_tuebingen.txt	NEWS	P3	WOD	1798	1795	tuebingen.txt	NA	Fortsetzung	NA	b	NEIN	NA	KEIN	NA	SG	NEIN	NEIN	fort	fortsetzen	
5418	beweist. Zugleich klagen sie ueber die gaenzliche 	Vernichtung	 des Handels, ueber den Ruin der Manufacturen und 	NEWS_P3_WOD_1798_tuebingen.txt	NEWS	P3	WOD	1798	1795	tuebingen.txt	NA	Vernichtung	gänzlich	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	ver	vernichten	
5420	 duerften, falls sie nicht zu Stande kaeme. - Die 	Ernennung	 des Generals Joubert zum Commandeur en chef der f	NEWS_P3_WOD_1798_tuebingen.txt	NEWS	P3	WOD	1798	1795	tuebingen.txt	NA	Ernennung	NA	b	NEIN	NA	postnom	NA	SG	NEIN	NEIN	er	ernennen	
5421	ihm einen gerechten Anspruch auf das Zutrauen der 	Regierung	 sowohl, als der batavischen Patrioten, die an ihn	NEWS_P3_WOD_1798_tuebingen.txt	NEWS	P3	WOD	1798	1795	tuebingen.txt	NA	Regierung	NA	b	NEIN	NA	KEIN	NA	SG	NA	JA	NA	regieren	
5424	das war, was die Dichter heilige Wuth nennen: der 	Landung	 auf England: Der Gott des Gesangs, Lais, sang ein	NEWS_P3_WOD_1798_tuebingen.txt	NEWS	P3	WOD	1798	1795	tuebingen.txt	NA	Landung	NA	b	NEIN	NA	KEIN	NA	SG	JA	NEIN	NA	landen	
5428	uellt haben sollte.) Auszug aus den Registern der 	Verhandlungen	 des fraenkischen VollziehungsDirectoriums. Paris,	NEWS_P3_WOD_1798_tuebingen.txt	NEWS	P3	WOD	1798	1795	tuebingen.txt	NA	Verhandlung	NA	b	NEIN	NA	postnom	NA	PL	NEIN	NEIN	ver	verhandeln	
